Rank,Country,,Loss of life expectancy,,,
159, Comoros,6.99,−0.20,,,
160, United States,6.91,−0.19,,,
161, Gambia,6.86,−0.18,,,
162, Mali,6.63,−0.16,,,
163, Cuba,6.34,−0.13,,,
164, Brunei,6.33,−0.13,,,
165, Algeria,6.14,−0.11,,,
166, Suriname,6.05,−0.10,,,
167, Canada,6.04,−0.10,,,
168, Portugal,5.67,−0.07,,,
169, Senegal,5.67,−0.07,,,
170, Mauritius,5.65,−0.06,,,
171, Estonia,5.61,−0.06,,,
172, French Guiana,5.53,−0.05,,,
173, Ireland,5.41,−0.04,,,
174, Vanuatu,5.12,−0.01,,,
175, Seychelles,4.96,0,,,
176, Norway,4.88,0,,,
177, Sweden,4.86,0,,,
178, Western Sahara,4.84,0,,,
179, Finland,4.37,0,,,
180, Trinidad and Tobago,3.9,0,,,
181, Curaçao,3.7,0,,,
182, New Zealand,3.69,0,,,
183, Mauritania,3.51,0,,,
184, Aruba,3.4,0,,,
185, Australia,3.36,0,,,
186, Fiji,3.23,0,,,
187, Bahamas,3.11,0,,,
188, Iceland,2.9,0,,,
189, Bermuda,2.8,0,,,
190, Réunion,2.74,0,,,
191, Martinique,2.72,0,,,
192, Faroe Islands,2.61,0,,,
193, Falklands,2.6,0,,,
194, Palau,2.4,0,,,
195, Saint Kitts and Nevis,2.4,0,,,
196, Dominica,2.34,0,,,
197, Puerto Rico,2.21,0,,,
198, Grenada,2.19,0,,,
199, Cape Verde,2.18,0,,,
200, Saint Vincent and the Grenadines,2.15,0,,,
201, Saint Lucia,2.02,0,,,
202, Barbados,2,0,,,
203, Tonga,1.98,0,,,
204, Antigua and Barbuda,1.79,0,,,
205, US Virgin Islands,1.75,0,,,
206, Samoa,1.69,0,,,
207, Tuvalu,1.56,0,,,
208, British Virgin Islands,1.52,0,,,
209, French Polynesia,1.4,0,,,
210, American Samoa,1.4,0,,,
211, Guam,1.19,0,,,
212, Nauru,1.18,0,,,
213, Cook Islands,1.13,0,,,
214, Greenland,1.11,0,,,
215, Marshall Islands,1.02,0,,,
216, Federated States of Micronesia,0.94,0,,,
217, Kiribati,0.9,0,,,
